Vui long khong xoa dong nay
1, 2, 3, 4, 5 = loai, bien the, ten, mau, gia, so luong
1 = { 0, 1, 2 } ~{ban phim, chuot, man hinh}
2 = { 0, 1, 2 } ~{gaming, toi gian, hien dai}
Vui long khong xoa dong nay|
0,0,BP121,Den,900000,12
0,0,BP2,Do,450000,12
0,0,BP3,Cam,725000,14
0,0,BP101,Den,1000000,12
0,0,BP102,Do,150000,12
0,0,BP103,Cam,325000,14
0,0,BP104,Do,1000000,12
0,0,BP105,Do,150000,12
0,0,BP106,Den,325000,14
0,1,BP4,Xanh,899100,22
0,1,BP5,Do,765900,49
0,1,BP6,Den,654300,13
0,1,BP201,Do,899100,22
0,1,BP202,Do,765900,49
0,1,BP203,Trang,654300,13
0,2,BP7,Hong,987000,99
0,2,BP8,Xanh,999000,14
0,2,BP9,Den,6541000,11
0,2,BP301,Hong,987000,99
0,2,BP302,Vang,999000,14
0,2,BP303,Trang,6541000,11
1,2,C123,Tim,125000,6
1,2,C100,Den,543000,23
1,2,C1,Tim,656000,3
1,2,C2,Den,651000,21
1,2,C3,Xanh,876100,41
1,2,C201,Xanh,125000,6
1,2,C202,Do,543000,23
1,2,C203,Vang,656000,3
1,2,C204,Den,651000,21
1,2,C205,Xanh,876100,41
1,0,C4,Cam,654700,51
1,0,C5,Do,123080,98
1,0,C6,Den,176900,100
1,0,C401,Cam,654700,51
1,0,C502,Do,123080,98
1,0,C601,Den,176900,9
1,1,C7,Den,654000,2
1,1,C8,Xanh,321000,9
1,1,C9,Do,134000,12
1,1,C701,Vang,654000,2
1,1,C801,Den,321000,9
1,1,C901,Xanh,134000,12
2,0,A00,Do,765300,22
2,0,A1,Do,11000900,21
2,0,A2,Den,12000000,21
2,0,A3,Xanh,3000000,23
2,0,A391,Do,765300,22
2,0,A301,Do,11000900,21
2,0,A302,Tim,12000000,21
2,0,A303,Xanh,3000000,23
2,1,A4,Do,4500000,23
2,1,A5,Den,2670000,24
2,1,A6,Xanh,65400000,23
2,1,A401,Do,4500000,23
2,1,A501,Den,2670000,24
2,1,A601,Xanh,65400000,23
2,2,A7,Do,3000000,20
2,2,A8,Den,1090000,23
2,2,A9,Xanh,1300000,25
2,2,A701,Do,3000000,20
2,2,A801,Den,1090000,23
2,2,A901,Do,1300000,25
